,id,name,product_count,write_date
99,134,Tienda test genaroFDFDF,0,2021-10-19 15:46:37
100,68,VEGETARIANO Y VEGANO,95,2021-03-19 21:57:07
101,92,VEGANO,91,2021-03-19 21:57:07
102,91,VEGETARIANO,4,2021-07-22 21:47:23
103,163,XDXDXD,0,2021-11-19 13:22:02
104,165,Xdddd23232,0,2021-11-23 21:37:41
105,129,aaa,0,2021-09-11 09:56:03
106,133,categoria prueba xdxdxdd,0,2021-10-19 15:36:15
107,125,supea,0,2021-09-03 01:24:31
108,135,test 2,0,2021-10-21 12:35:41
